,Date,Holiday,Country,Alpha-2 code,Alpha-3 code,Numeric code,ISO 3166-2,Year
0,2016-01-01,Aña Nobo [New Year's Day],aruba,AW,ABW,533,ISO 3166-2:AW,2016
1,2016-01-25,Dia Di Betico [Betico Day],aruba,AW,ABW,533,ISO 3166-2:AW,2016
2,2016-02-08,Dialuna di Carnaval             [Carnaval Monday],aruba,AW,ABW,533,ISO 3166-2:AW,2016
3,2016-03-18,Dia di Himno y Bandera             [National Anthem & Flag Day],aruba,AW,ABW,533,ISO 3166-2:AW,2016
4,2016-03-25,Bierna Santo [Good Friday],aruba,AW,ABW,533,ISO 3166-2:AW,2016
5,2016-03-28,Di Dos Dia di Pasco di Resureccion             [Easter Monday],aruba,AW,ABW,533,ISO 3166-2:AW,2016
6,2016-04-27,Aña di Rey [King's Day],aruba,AW,ABW,533,ISO 3166-2:AW,2016
7,2016-05-01,Dia di Obrero [Labour Day],aruba,AW,ABW,533,ISO 3166-2:AW,2016
8,2016-05-05,Dia di Asuncion [Ascension Day],aruba,AW,ABW,533,ISO 3166-2:AW,2016
9,2016-12-25,Pasco di Nacemento [Christmas],aruba,AW,ABW,533,ISO 3166-2:AW,2016
10,2016-12-26,Di Dos Dia di Pasco di             Nacemento [Second Christmas],aruba,AW,ABW,533,ISO 3166-2:AW,2016
11,2017-01-01,Aña Nobo [New Year's Day],aruba,AW,ABW,533,ISO 3166-2:AW,2017
12,2017-01-25,Dia Di Betico [Betico Day],aruba,AW,ABW,533,ISO 3166-2:AW,2017
13,2017-02-27,Dialuna di Carnaval             [Carnaval Monday],aruba,AW,ABW,533,ISO 3166-2:AW,2017
14,2017-03-18,Dia di Himno y Bandera             [National Anthem & Flag Day],aruba,AW,ABW,533,ISO 3166-2:AW,2017
15,2017-04-14,Bierna Santo [Good Friday],aruba,AW,ABW,533,ISO 3166-2:AW,2017
16,2017-04-17,Di Dos Dia di Pasco di Resureccion             [Easter Monday],aruba,AW,ABW,533,ISO 3166-2:AW,2017
17,2017-04-27,Aña di Rey [King's Day],aruba,AW,ABW,533,ISO 3166-2:AW,2017
18,2017-05-01,Dia di Obrero [Labour Day],aruba,AW,ABW,533,ISO 3166-2:AW,2017
19,2017-05-25,Dia di Asuncion [Ascension Day],aruba,AW,ABW,533,ISO 3166-2:AW,2017
20,2017-12-25,Pasco di Nacemento [Christmas],aruba,AW,ABW,533,ISO 3166-2:AW,2017
21,2017-12-26,Di Dos Dia di Pasco di             Nacemento [Second Christmas],aruba,AW,ABW,533,ISO 3166-2:AW,2017
22,2018-01-01,Aña Nobo [New Year's Day],aruba,AW,ABW,533,ISO 3166-2:AW,2018
23,2018-01-25,Dia Di Betico [Betico Day],aruba,AW,ABW,533,ISO 3166-2:AW,2018
24,2018-02-12,Dialuna di Carnaval             [Carnaval Monday],aruba,AW,ABW,533,ISO 3166-2:AW,2018
25,2018-03-18,Dia di Himno y Bandera             [National Anthem & Flag Day],aruba,AW,ABW,533,ISO 3166-2:AW,2018
26,2018-03-30,Bierna Santo [Good Friday],aruba,AW,ABW,533,ISO 3166-2:AW,2018
27,2018-04-02,Di Dos Dia di Pasco di Resureccion             [Easter Monday],aruba,AW,ABW,533,ISO 3166-2:AW,2018
28,2018-04-27,Aña di Rey [King's Day],aruba,AW,ABW,533,ISO 3166-2:AW,2018
29,2018-05-01,Dia di Obrero [Labour Day],aruba,AW,ABW,533,ISO 3166-2:AW,2018
30,2018-05-10,Dia di Asuncion [Ascension Day],aruba,AW,ABW,533,ISO 3166-2:AW,2018
31,2018-12-25,Pasco di Nacemento [Christmas],aruba,AW,ABW,533,ISO 3166-2:AW,2018
32,2018-12-26,Di Dos Dia di Pasco di             Nacemento [Second Christmas],aruba,AW,ABW,533,ISO 3166-2:AW,2018
33,2019-01-01,Aña Nobo [New Year's Day],aruba,AW,ABW,533,ISO 3166-2:AW,2019
34,2019-01-25,Dia Di Betico [Betico Day],aruba,AW,ABW,533,ISO 3166-2:AW,2019
35,2019-03-04,Dialuna di Carnaval             [Carnaval Monday],aruba,AW,ABW,533,ISO 3166-2:AW,2019
36,2019-03-18,Dia di Himno y Bandera             [National Anthem & Flag Day],aruba,AW,ABW,533,ISO 3166-2:AW,2019
37,2019-04-19,Bierna Santo [Good Friday],aruba,AW,ABW,533,ISO 3166-2:AW,2019
38,2019-04-22,Di Dos Dia di Pasco di Resureccion             [Easter Monday],aruba,AW,ABW,533,ISO 3166-2:AW,2019
39,2019-04-27,Aña di Rey [King's Day],aruba,AW,ABW,533,ISO 3166-2:AW,2019
40,2019-05-01,Dia di Obrero [Labour Day],aruba,AW,ABW,533,ISO 3166-2:AW,2019
41,2019-05-30,Dia di Asuncion [Ascension Day],aruba,AW,ABW,533,ISO 3166-2:AW,2019
42,2019-12-25,Pasco di Nacemento [Christmas],aruba,AW,ABW,533,ISO 3166-2:AW,2019
43,2019-12-26,Di Dos Dia di Pasco di             Nacemento [Second Christmas],aruba,AW,ABW,533,ISO 3166-2:AW,2019
44,2020-01-01,Aña Nobo [New Year's Day],aruba,AW,ABW,533,ISO 3166-2:AW,2020
45,2020-01-25,Dia Di Betico [Betico Day],aruba,AW,ABW,533,ISO 3166-2:AW,2020
46,2020-02-24,Dialuna di Carnaval             [Carnaval Monday],aruba,AW,ABW,533,ISO 3166-2:AW,2020
47,2020-03-18,Dia di Himno y Bandera             [National Anthem & Flag Day],aruba,AW,ABW,533,ISO 3166-2:AW,2020
48,2020-04-10,Bierna Santo [Good Friday],aruba,AW,ABW,533,ISO 3166-2:AW,2020
49,2020-04-13,Di Dos Dia di Pasco di Resureccion             [Easter Monday],aruba,AW,ABW,533,ISO 3166-2:AW,2020
50,2020-04-27,Aña di Rey [King's Day],aruba,AW,ABW,533,ISO 3166-2:AW,2020
51,2020-05-01,Dia di Obrero [Labour Day],aruba,AW,ABW,533,ISO 3166-2:AW,2020
52,2020-05-21,Dia di Asuncion [Ascension Day],aruba,AW,ABW,533,ISO 3166-2:AW,2020
53,2020-12-25,Pasco di Nacemento [Christmas],aruba,AW,ABW,533,ISO 3166-2:AW,2020
54,2020-12-26,Di Dos Dia di Pasco di             Nacemento [Second Christmas],aruba,AW,ABW,533,ISO 3166-2:AW,2020
55,2021-01-01,Aña Nobo [New Year's Day],aruba,AW,ABW,533,ISO 3166-2:AW,2021
56,2021-01-25,Dia Di Betico [Betico Day],aruba,AW,ABW,533,ISO 3166-2:AW,2021
57,2021-02-15,Dialuna di Carnaval             [Carnaval Monday],aruba,AW,ABW,533,ISO 3166-2:AW,2021
58,2021-03-18,Dia di Himno y Bandera             [National Anthem & Flag Day],aruba,AW,ABW,533,ISO 3166-2:AW,2021
59,2021-04-02,Bierna Santo [Good Friday],aruba,AW,ABW,533,ISO 3166-2:AW,2021
60,2021-04-05,Di Dos Dia di Pasco di Resureccion             [Easter Monday],aruba,AW,ABW,533,ISO 3166-2:AW,2021
61,2021-04-27,Aña di Rey [King's Day],aruba,AW,ABW,533,ISO 3166-2:AW,2021
62,2021-05-01,Dia di Obrero [Labour Day],aruba,AW,ABW,533,ISO 3166-2:AW,2021
63,2021-05-13,Dia di Asuncion [Ascension Day],aruba,AW,ABW,533,ISO 3166-2:AW,2021
