,Unnamed: 0,Date,Holiday,Country,Alpha-2 code,Alpha-3 code,Numeric code,ISO 3166-2,Year
0,0,2016-01-01,Aña Nobo [New Year's Day],aruba,AW,ABW,533,ISO 3166-2:AW,2016
1,1,2016-01-25,Dia Di Betico [Betico Day],aruba,AW,ABW,533,ISO 3166-2:AW,2016
2,2,2016-02-08,Dialuna di Carnaval             [Carnaval Monday],aruba,AW,ABW,533,ISO 3166-2:AW,2016
3,3,2016-03-18,Dia di Himno y Bandera             [National Anthem & Flag Day],aruba,AW,ABW,533,ISO 3166-2:AW,2016
4,4,2016-03-25,Bierna Santo [Good Friday],aruba,AW,ABW,533,ISO 3166-2:AW,2016
5,5,2016-03-28,Di Dos Dia di Pasco di Resureccion             [Easter Monday],aruba,AW,ABW,533,ISO 3166-2:AW,2016
6,6,2016-04-27,Aña di Rey [King's Day],aruba,AW,ABW,533,ISO 3166-2:AW,2016
7,7,2016-05-01,Dia di Obrero [Labour Day],aruba,AW,ABW,533,ISO 3166-2:AW,2016
8,8,2016-05-05,Dia di Asuncion [Ascension Day],aruba,AW,ABW,533,ISO 3166-2:AW,2016
9,9,2016-12-25,Pasco di Nacemento [Christmas],aruba,AW,ABW,533,ISO 3166-2:AW,2016
10,10,2016-12-26,Di Dos Dia di Pasco di             Nacemento [Second Christmas],aruba,AW,ABW,533,ISO 3166-2:AW,2016
11,11,2017-01-01,Aña Nobo [New Year's Day],aruba,AW,ABW,533,ISO 3166-2:AW,2017
12,12,2017-01-25,Dia Di Betico [Betico Day],aruba,AW,ABW,533,ISO 3166-2:AW,2017
13,13,2017-02-27,Dialuna di Carnaval             [Carnaval Monday],aruba,AW,ABW,533,ISO 3166-2:AW,2017
14,14,2017-03-18,Dia di Himno y Bandera             [National Anthem & Flag Day],aruba,AW,ABW,533,ISO 3166-2:AW,2017
15,15,2017-04-14,Bierna Santo [Good Friday],aruba,AW,ABW,533,ISO 3166-2:AW,2017
16,16,2017-04-17,Di Dos Dia di Pasco di Resureccion             [Easter Monday],aruba,AW,ABW,533,ISO 3166-2:AW,2017
17,17,2017-04-27,Aña di Rey [King's Day],aruba,AW,ABW,533,ISO 3166-2:AW,2017
18,18,2017-05-01,Dia di Obrero [Labour Day],aruba,AW,ABW,533,ISO 3166-2:AW,2017
19,19,2017-05-25,Dia di Asuncion [Ascension Day],aruba,AW,ABW,533,ISO 3166-2:AW,2017
20,20,2017-12-25,Pasco di Nacemento [Christmas],aruba,AW,ABW,533,ISO 3166-2:AW,2017
21,21,2017-12-26,Di Dos Dia di Pasco di             Nacemento [Second Christmas],aruba,AW,ABW,533,ISO 3166-2:AW,2017
22,22,2018-01-01,Aña Nobo [New Year's Day],aruba,AW,ABW,533,ISO 3166-2:AW,2018
23,23,2018-01-25,Dia Di Betico [Betico Day],aruba,AW,ABW,533,ISO 3166-2:AW,2018
24,24,2018-02-12,Dialuna di Carnaval             [Carnaval Monday],aruba,AW,ABW,533,ISO 3166-2:AW,2018
25,25,2018-03-18,Dia di Himno y Bandera             [National Anthem & Flag Day],aruba,AW,ABW,533,ISO 3166-2:AW,2018
26,26,2018-03-30,Bierna Santo [Good Friday],aruba,AW,ABW,533,ISO 3166-2:AW,2018
27,27,2018-04-02,Di Dos Dia di Pasco di Resureccion             [Easter Monday],aruba,AW,ABW,533,ISO 3166-2:AW,2018
28,28,2018-04-27,Aña di Rey [King's Day],aruba,AW,ABW,533,ISO 3166-2:AW,2018
29,29,2018-05-01,Dia di Obrero [Labour Day],aruba,AW,ABW,533,ISO 3166-2:AW,2018
30,30,2018-05-10,Dia di Asuncion [Ascension Day],aruba,AW,ABW,533,ISO 3166-2:AW,2018
31,31,2018-12-25,Pasco di Nacemento [Christmas],aruba,AW,ABW,533,ISO 3166-2:AW,2018
32,32,2018-12-26,Di Dos Dia di Pasco di             Nacemento [Second Christmas],aruba,AW,ABW,533,ISO 3166-2:AW,2018
33,33,2019-01-01,Aña Nobo [New Year's Day],aruba,AW,ABW,533,ISO 3166-2:AW,2019
34,34,2019-01-25,Dia Di Betico [Betico Day],aruba,AW,ABW,533,ISO 3166-2:AW,2019
35,35,2019-03-04,Dialuna di Carnaval             [Carnaval Monday],aruba,AW,ABW,533,ISO 3166-2:AW,2019
36,36,2019-03-18,Dia di Himno y Bandera             [National Anthem & Flag Day],aruba,AW,ABW,533,ISO 3166-2:AW,2019
37,37,2019-04-19,Bierna Santo [Good Friday],aruba,AW,ABW,533,ISO 3166-2:AW,2019
38,38,2019-04-22,Di Dos Dia di Pasco di Resureccion             [Easter Monday],aruba,AW,ABW,533,ISO 3166-2:AW,2019
39,39,2019-04-27,Aña di Rey [King's Day],aruba,AW,ABW,533,ISO 3166-2:AW,2019
40,40,2019-05-01,Dia di Obrero [Labour Day],aruba,AW,ABW,533,ISO 3166-2:AW,2019
41,41,2019-05-30,Dia di Asuncion [Ascension Day],aruba,AW,ABW,533,ISO 3166-2:AW,2019
42,42,2019-12-25,Pasco di Nacemento [Christmas],aruba,AW,ABW,533,ISO 3166-2:AW,2019
43,43,2019-12-26,Di Dos Dia di Pasco di             Nacemento [Second Christmas],aruba,AW,ABW,533,ISO 3166-2:AW,2019
44,44,2020-01-01,Aña Nobo [New Year's Day],aruba,AW,ABW,533,ISO 3166-2:AW,2020
45,45,2020-01-25,Dia Di Betico [Betico Day],aruba,AW,ABW,533,ISO 3166-2:AW,2020
46,46,2020-02-24,Dialuna di Carnaval             [Carnaval Monday],aruba,AW,ABW,533,ISO 3166-2:AW,2020
47,47,2020-03-18,Dia di Himno y Bandera             [National Anthem & Flag Day],aruba,AW,ABW,533,ISO 3166-2:AW,2020
48,48,2020-04-10,Bierna Santo [Good Friday],aruba,AW,ABW,533,ISO 3166-2:AW,2020
49,49,2020-04-13,Di Dos Dia di Pasco di Resureccion             [Easter Monday],aruba,AW,ABW,533,ISO 3166-2:AW,2020
50,50,2020-04-27,Aña di Rey [King's Day],aruba,AW,ABW,533,ISO 3166-2:AW,2020
51,51,2020-05-01,Dia di Obrero [Labour Day],aruba,AW,ABW,533,ISO 3166-2:AW,2020
52,52,2020-05-21,Dia di Asuncion [Ascension Day],aruba,AW,ABW,533,ISO 3166-2:AW,2020
53,53,2020-12-25,Pasco di Nacemento [Christmas],aruba,AW,ABW,533,ISO 3166-2:AW,2020
54,54,2020-12-26,Di Dos Dia di Pasco di             Nacemento [Second Christmas],aruba,AW,ABW,533,ISO 3166-2:AW,2020
55,55,2021-01-01,Aña Nobo [New Year's Day],aruba,AW,ABW,533,ISO 3166-2:AW,2021
56,56,2021-01-25,Dia Di Betico [Betico Day],aruba,AW,ABW,533,ISO 3166-2:AW,2021
57,57,2021-02-15,Dialuna di Carnaval             [Carnaval Monday],aruba,AW,ABW,533,ISO 3166-2:AW,2021
58,58,2021-03-18,Dia di Himno y Bandera             [National Anthem & Flag Day],aruba,AW,ABW,533,ISO 3166-2:AW,2021
59,59,2021-04-02,Bierna Santo [Good Friday],aruba,AW,ABW,533,ISO 3166-2:AW,2021
60,60,2021-04-05,Di Dos Dia di Pasco di Resureccion             [Easter Monday],aruba,AW,ABW,533,ISO 3166-2:AW,2021
61,61,2021-04-27,Aña di Rey [King's Day],aruba,AW,ABW,533,ISO 3166-2:AW,2021
62,62,2021-05-01,Dia di Obrero [Labour Day],aruba,AW,ABW,533,ISO 3166-2:AW,2021
63,63,2021-05-13,Dia di Asuncion [Ascension Day],aruba,AW,ABW,533,ISO 3166-2:AW,2021
64,64,2021-12-25,Pasco di Nacemento [Christmas],aruba,AW,ABW,533,ISO 3166-2:AW,2021
65,65,2021-12-26,Di Dos Dia di Pasco di             Nacemento [Second Christmas],aruba,AW,ABW,533,ISO 3166-2:AW,2021
66,66,2022-01-01,Aña Nobo [New Year's Day],aruba,AW,ABW,533,ISO 3166-2:AW,2022
67,67,2022-01-25,Dia Di Betico [Betico Day],aruba,AW,ABW,533,ISO 3166-2:AW,2022
68,68,2022-02-28,Dialuna di Carnaval             [Carnaval Monday],aruba,AW,ABW,533,ISO 3166-2:AW,2022
69,69,2022-03-18,Dia di Himno y Bandera             [National Anthem & Flag Day],aruba,AW,ABW,533,ISO 3166-2:AW,2022
70,70,2022-04-15,Bierna Santo [Good Friday],aruba,AW,ABW,533,ISO 3166-2:AW,2022
71,71,2022-04-18,Di Dos Dia di Pasco di Resureccion             [Easter Monday],aruba,AW,ABW,533,ISO 3166-2:AW,2022
72,72,2022-04-27,Aña di Rey [King's Day],aruba,AW,ABW,533,ISO 3166-2:AW,2022
73,73,2022-05-01,Dia di Obrero [Labour Day],aruba,AW,ABW,533,ISO 3166-2:AW,2022
74,74,2022-05-26,Dia di Asuncion [Ascension Day],aruba,AW,ABW,533,ISO 3166-2:AW,2022
75,75,2022-12-25,Pasco di Nacemento [Christmas],aruba,AW,ABW,533,ISO 3166-2:AW,2022
76,76,2022-12-26,Di Dos Dia di Pasco di             Nacemento [Second Christmas],aruba,AW,ABW,533,ISO 3166-2:AW,2022
77,77,2016-09-17,"Dia dos Heroes Nacional, Dia do Herói Nacional",angola,AO,AGO,24,ISO 3166-2:AO,2016
78,78,2016-01-01,Ano novo,angola,AO,AGO,24,ISO 3166-2:AO,2016
79,79,2016-03-25,Sexta-feira Santa,angola,AO,AGO,24,ISO 3166-2:AO,2016
80,80,2016-02-09,Carnaval,angola,AO,AGO,24,ISO 3166-2:AO,2016
81,81,2016-02-04,Dia do Início da Luta Armada,angola,AO,AGO,24,ISO 3166-2:AO,2016
82,82,2016-03-08,Dia Internacional da Mulher,angola,AO,AGO,24,ISO 3166-2:AO,2016
83,83,2016-04-04,Dia da Paz e Reconciliação,angola,AO,AGO,24,ISO 3166-2:AO,2016
84,84,2016-05-01,Dia Mundial do Trabalho,angola,AO,AGO,24,ISO 3166-2:AO,2016
85,85,2016-11-02,Dia dos Finados,angola,AO,AGO,24,ISO 3166-2:AO,2016
86,86,2016-11-11,Dia da Independência,angola,AO,AGO,24,ISO 3166-2:AO,2016
87,87,2016-12-25,Dia de Natal e da Família,angola,AO,AGO,24,ISO 3166-2:AO,2016
88,88,2016-05-02,Dia Mundial do Trabalho (Observed),angola,AO,AGO,24,ISO 3166-2:AO,2016
89,89,2016-12-26,Dia de Natal e da Família (Observed),angola,AO,AGO,24,ISO 3166-2:AO,2016
90,90,2017-09-17,"Dia dos Heroes Nacional, Dia do Herói Nacional",angola,AO,AGO,24,ISO 3166-2:AO,2017
91,91,2017-01-01,Ano novo,angola,AO,AGO,24,ISO 3166-2:AO,2017
92,92,2017-04-14,Sexta-feira Santa,angola,AO,AGO,24,ISO 3166-2:AO,2017
93,93,2017-02-28,Carnaval,angola,AO,AGO,24,ISO 3166-2:AO,2017
94,94,2017-02-04,Dia do Início da Luta Armada,angola,AO,AGO,24,ISO 3166-2:AO,2017
95,95,2017-03-08,Dia Internacional da Mulher,angola,AO,AGO,24,ISO 3166-2:AO,2017
96,96,2017-04-04,Dia da Paz e Reconciliação,angola,AO,AGO,24,ISO 3166-2:AO,2017
97,97,2017-05-01,Dia Mundial do Trabalho,angola,AO,AGO,24,ISO 3166-2:AO,2017
98,98,2017-11-02,Dia dos Finados,angola,AO,AGO,24,ISO 3166-2:AO,2017
99,99,2017-11-11,Dia da Independência,angola,AO,AGO,24,ISO 3166-2:AO,2017
100,100,2017-12-25,Dia de Natal e da Família,angola,AO,AGO,24,ISO 3166-2:AO,2017
101,101,2017-09-18,"Dia dos Heroes Nacional, Dia do Herói Nacional (Observed)",angola,AO,AGO,24,ISO 3166-2:AO,2017
102,102,2017-01-02,Ano novo (Observed),angola,AO,AGO,24,ISO 3166-2:AO,2017
103,103,2018-09-17,"Dia dos Heroes Nacional, Dia do Herói Nacional",angola,AO,AGO,24,ISO 3166-2:AO,2018
104,104,2018-01-01,Ano novo,angola,AO,AGO,24,ISO 3166-2:AO,2018
105,105,2018-03-30,Sexta-feira Santa,angola,AO,AGO,24,ISO 3166-2:AO,2018
106,106,2018-02-13,Carnaval,angola,AO,AGO,24,ISO 3166-2:AO,2018
107,107,2018-02-04,Dia do Início da Luta Armada,angola,AO,AGO,24,ISO 3166-2:AO,2018
108,108,2018-03-08,Dia Internacional da Mulher,angola,AO,AGO,24,ISO 3166-2:AO,2018
109,109,2018-04-04,Dia da Paz e Reconciliação,angola,AO,AGO,24,ISO 3166-2:AO,2018
110,110,2018-05-01,Dia Mundial do Trabalho,angola,AO,AGO,24,ISO 3166-2:AO,2018
111,111,2018-11-02,Dia dos Finados,angola,AO,AGO,24,ISO 3166-2:AO,2018
112,112,2018-11-11,Dia da Independência,angola,AO,AGO,24,ISO 3166-2:AO,2018
113,113,2018-12-25,Dia de Natal e da Família,angola,AO,AGO,24,ISO 3166-2:AO,2018
114,114,2016-02-08,Carnaval (Day off),angola,AO,AGO,24,ISO 3166-2:AO,2016
115,115,2016-02-05,Dia do Início da Luta Armada (Day off),angola,AO,AGO,24,ISO 3166-2:AO,2016
116,116,2016-03-07,Dia Internacional da Mulher (Day off),angola,AO,AGO,24,ISO 3166-2:AO,2016
117,117,2017-02-27,Carnaval (Day off),angola,AO,AGO,24,ISO 3166-2:AO,2017
118,118,2017-04-03,Dia da Paz e Reconciliação (Day off),angola,AO,AGO,24,ISO 3166-2:AO,2017
119,119,2017-11-03,Dia dos Finados (Day off),angola,AO,AGO,24,ISO 3166-2:AO,2017
120,120,2018-02-12,Carnaval (Day off),angola,AO,AGO,24,ISO 3166-2:AO,2018
121,121,2018-02-05,Dia do Início da Luta Armada (Observed),angola,AO,AGO,24,ISO 3166-2:AO,2018
122,122,2018-03-09,Dia Internacional da Mulher (Day off),angola,AO,AGO,24,ISO 3166-2:AO,2018
123,123,2018-04-30,Dia Mundial do Trabalho (Day off),angola,AO,AGO,24,ISO 3166-2:AO,2018
124,124,2018-11-12,Dia da Independência (Observed),angola,AO,AGO,24,ISO 3166-2:AO,2018
125,125,2018-12-24,Dia de Natal e da Família (Day off),angola,AO,AGO,24,ISO 3166-2:AO,2018
126,126,2019-03-23,Dia da Libertação da África Austral,angola,AO,AGO,24,ISO 3166-2:AO,2019
127,127,2019-09-17,"Dia dos Heroes Nacional, Dia do Herói Nacional",angola,AO,AGO,24,ISO 3166-2:AO,2019
128,128,2019-01-01,Ano novo,angola,AO,AGO,24,ISO 3166-2:AO,2019
129,129,2019-04-19,Sexta-feira Santa,angola,AO,AGO,24,ISO 3166-2:AO,2019
130,130,2019-03-05,Carnaval,angola,AO,AGO,24,ISO 3166-2:AO,2019
131,131,2019-02-04,Dia do Início da Luta Armada,angola,AO,AGO,24,ISO 3166-2:AO,2019
132,132,2019-03-08,Dia Internacional da Mulher,angola,AO,AGO,24,ISO 3166-2:AO,2019
133,133,2019-04-04,Dia da Paz e Reconciliação,angola,AO,AGO,24,ISO 3166-2:AO,2019
134,134,2019-05-01,Dia Mundial do Trabalho,angola,AO,AGO,24,ISO 3166-2:AO,2019
135,135,2019-11-02,Dia dos Finados,angola,AO,AGO,24,ISO 3166-2:AO,2019
136,136,2019-11-11,Dia da Independência,angola,AO,AGO,24,ISO 3166-2:AO,2019
137,137,2019-12-25,Dia de Natal e da Família,angola,AO,AGO,24,ISO 3166-2:AO,2019
138,138,2019-09-16,"Dia dos Heroes Nacional, Dia do Herói Nacional (Day off)",angola,AO,AGO,24,ISO 3166-2:AO,2019
139,139,2018-12-31,Ano novo (Day off),angola,AO,AGO,24,ISO 3166-2:AO,2018
140,140,2019-03-04,Carnaval (Day off),angola,AO,AGO,24,ISO 3166-2:AO,2019
141,141,2019-04-05,Dia da Paz e Reconciliação (Day off),angola,AO,AGO,24,ISO 3166-2:AO,2019
142,142,2020-03-23,Dia da Libertação da África Austral,angola,AO,AGO,24,ISO 3166-2:AO,2020
143,143,2020-09-17,"Dia dos Heroes Nacional, Dia do Herói Nacional",angola,AO,AGO,24,ISO 3166-2:AO,2020
144,144,2020-01-01,Ano novo,angola,AO,AGO,24,ISO 3166-2:AO,2020
145,145,2020-04-10,Sexta-feira Santa,angola,AO,AGO,24,ISO 3166-2:AO,2020
146,146,2020-02-25,Carnaval,angola,AO,AGO,24,ISO 3166-2:AO,2020
147,147,2020-02-04,Dia do Início da Luta Armada,angola,AO,AGO,24,ISO 3166-2:AO,2020
148,148,2020-03-08,Dia Internacional da Mulher,angola,AO,AGO,24,ISO 3166-2:AO,2020
149,149,2020-04-04,Dia da Paz e Reconciliação,angola,AO,AGO,24,ISO 3166-2:AO,2020
150,150,2020-05-01,Dia Mundial do Trabalho,angola,AO,AGO,24,ISO 3166-2:AO,2020
151,151,2020-11-02,Dia dos Finados,angola,AO,AGO,24,ISO 3166-2:AO,2020
152,152,2020-11-11,Dia da Independência,angola,AO,AGO,24,ISO 3166-2:AO,2020
153,153,2020-12-25,Dia de Natal e da Família,angola,AO,AGO,24,ISO 3166-2:AO,2020
154,154,2020-09-18,"Dia dos Heroes Nacional, Dia do Herói Nacional (Day off)",angola,AO,AGO,24,ISO 3166-2:AO,2020
155,155,2020-02-24,Carnaval (Day off),angola,AO,AGO,24,ISO 3166-2:AO,2020
156,156,2020-02-03,Dia do Início da Luta Armada (Day off),angola,AO,AGO,24,ISO 3166-2:AO,2020
157,157,2020-03-09,Dia Internacional da Mulher (Observed),angola,AO,AGO,24,ISO 3166-2:AO,2020
158,158,2021-03-23,Dia da Libertação da África Austral,angola,AO,AGO,24,ISO 3166-2:AO,2021
159,159,2021-09-17,"Dia dos Heroes Nacional, Dia do Herói Nacional",angola,AO,AGO,24,ISO 3166-2:AO,2021
160,160,2021-01-01,Ano novo,angola,AO,AGO,24,ISO 3166-2:AO,2021
161,161,2021-04-02,Sexta-feira Santa,angola,AO,AGO,24,ISO 3166-2:AO,2021
162,162,2021-02-16,Carnaval,angola,AO,AGO,24,ISO 3166-2:AO,2021
163,163,2021-02-04,Dia do Início da Luta Armada,angola,AO,AGO,24,ISO 3166-2:AO,2021
164,164,2021-03-08,Dia Internacional da Mulher,angola,AO,AGO,24,ISO 3166-2:AO,2021
165,165,2021-04-04,Dia da Paz e Reconciliação,angola,AO,AGO,24,ISO 3166-2:AO,2021
166,166,2021-05-01,Dia Mundial do Trabalho,angola,AO,AGO,24,ISO 3166-2:AO,2021
167,167,2021-11-02,Dia dos Finados,angola,AO,AGO,24,ISO 3166-2:AO,2021
